ts,asset_id,part,tag,value,unit,quality,source
2026-09-12T13:50:00.000-04:00,T1,T_Machine_Static,cycle_s,2.0,s,192,vlft:process
2026-09-12T13:50:00.000-04:00,T1,T_Machine_Static,busy,1,bool,192,vlft:process
2026-09-12T13:50:00.000-04:00,T1,T_Machine_Static,job_id,1,id,192,vlft:process
2026-09-12T13:50:00.000-04:00,T1,T_Machine_Static,torque_nm,0.881,Nm,192,vlft:process
2026-09-12T13:50:00.000-04:00,T1,T_Machine_Static,spindle_rpm,858,rpm,192,vlft:process
2026-09-12T13:50:00.000-04:00,PI1,PI_Machine_Static,cycle_s,2.0,s,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI1,PI_Machine_Static,busy,0,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI1,PI_Machine_Static,insert_force_n,0.0,N,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI1,PI_Machine_Static,bowl_on,0,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI2,PI_Machine_Static,cycle_s,2.0,s,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI2,PI_Machine_Static,busy,0,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI2,PI_Machine_Static,insert_force_n,0.0,N,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI2,PI_Machine_Static,bowl_on,0,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI3,PI_Machine_Static,cycle_s,2.0,s,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI3,PI_Machine_Static,busy,1,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI3,PI_Machine_Static,insert_force_n,352.0,N,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI3,PI_Machine_Static,bowl_on,1,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI4,PI_Machine_Static,cycle_s,2.0,s,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI4,PI_Machine_Static,busy,0,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI4,PI_Machine_Static,insert_force_n,0.0,N,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,PI4,PI_Machine_Static,bowl_on,0,bool,192,synthetic:vlft-pi
2026-09-12T13:50:00.000-04:00,R1,R_Machine_Static,cycle_s,2.0,s,192,synthetic:baltec-en20
2026-09-12T13:50:00.000-04:00,R1,R_Machine_Static,busy,0,bool,192,synthetic:baltec-en20
2026-09-12T13:50:00.000-04:00,R1,R_Machine_Static,set_force_n,0.0,N,192,synthetic:baltec-en20
2026-09-12T13:50:00.000-04:00,R1,R_Machine_Static,air_bar,5.86,bar,192,synthetic:baltec-en20
2026-09-12T13:50:00.000-04:00,R2,R_Machine_Static,cycle_s,2.0,s,192,synthetic:baltec-en20
2026-09-12T13:50:00.000-04:00,R2,R_Machine_Static,busy,0,bool,192,synthetic:baltec-en20
2026-09-12T13:50:00.000-04:00,R2,R_Machine_Static,set_force_n,0.0,N,192,synthetic:baltec-en20
2026-09-12T13:50:00.000-04:00,R2,R_Machine_Static,air_bar,5.91,bar,192,synthetic:baltec-en20
